"","ID","score"
"1",1,0.004
"2",2,0.118
"3",3,0.006
"4",4,0.034
"5",5,0.258
"6",6,0.03
"7",7,0.88
"8",8,0.178
"9",9,0.996
"10",10,0.072
"11",11,0.026
"12",12,0.688
"13",13,0.48
"14",14,0
"15",15,0.92
"16",16,0.332
"17",17,0.466
"18",18,0.124
"19",19,0.58
"20",20,0.606
"21",21,0.858
"22",22,0.004
"23",23,0
"24",24,0.86
"25",25,0.012
"26",26,0.372
"27",27,0.988
"28",28,0.078
"29",29,0.066
"30",30,0.012
"31",31,0.548
"32",32,0.3
"33",33,0.864
"34",34,0.06
"35",35,0.988
"36",36,0
"37",37,0.898
"38",38,0.014
"39",39,0.09
"40",40,0.012
"41",41,0.008
"42",42,0.682
"43",43,0.878
"44",44,0.548
"45",45,0.024
"46",46,0.034
"47",47,0.934
"48",48,0.578
"49",49,0
"50",50,0.124
"51",51,0.836
"52",52,0.04
"53",53,0.036
"54",54,0.016
"55",55,0.238
"56",56,0.032
"57",57,0.768
"58",58,0.54
"59",59,0.858
"60",60,0.892
"61",61,0.006
"62",62,0.102
"63",63,0.554
"64",64,0.914
"65",65,0.026
"66",66,0.016
"67",67,0.006
"68",68,0.096
"69",69,0.296
"70",70,0.098
"71",71,0.456
"72",72,0.974
"73",73,0.034
"74",74,0.072
"75",75,0.158
"76",76,0.14
"77",77,0.484
"78",78,0.024
"79",79,0
"80",80,0
"81",81,0
"82",82,0.98
"83",83,0.056
"84",84,0.73
"85",85,0.006
"86",86,0.028
"87",87,0.17
"88",88,0.206
"89",89,0.016
"90",90,0.002
"91",91,0.004
"92",92,0.002
"93",93,0.24
"94",94,0.004
"95",95,0.3
"96",96,0.49
"97",97,0.192
"98",98,0.03
"99",99,0.024
"100",100,0.034
"101",101,0.018
"102",102,0.768
"103",103,0.008
"104",104,0.774
"105",105,0.072
"106",106,0.33
"107",107,0.346
"108",108,0.208
"109",109,0.002
"110",110,0.898
"111",111,0
"112",112,0.004
"113",113,0.034
"114",114,0.144
"115",115,0.266
"116",116,0.942
"117",117,0.09
"118",118,0.652
"119",119,0.962
"120",120,0.704
"121",121,0.906
"122",122,0.362
"123",123,0.204
"124",124,0.04
"125",125,0.966
"126",126,0.018
"127",127,0.094
"128",128,0.052
"129",129,0.016
"130",130,0.132
"131",131,0.034
"132",132,0.974
"133",133,0.328
"134",134,0.036
"135",135,0.02
"136",136,0.686
"137",137,0.022
"138",138,0.822
"139",139,0.784
"140",140,0.324
"141",141,0.038
"142",142,0.988
"143",143,0.056
"144",144,0.004
"145",145,0.066
"146",146,0.928
"147",147,0.64
"148",148,0.204
"149",149,0.958
"150",150,0.196
"151",151,0.908
"152",152,0.002
"153",153,0.204
"154",154,0
"155",155,0.022
"156",156,0.074
"157",157,0.002
"158",158,0.098
"159",159,0.132
"160",160,0.794
"161",161,0.092
"162",162,0.11
"163",163,0.578
"164",164,0.062
"165",165,0.004
"166",166,0.04
"167",167,0.002
"168",168,0.95
"169",169,0.014
"170",170,0.018
"171",171,0.882
"172",172,0.838
"173",173,0.44
"174",174,0.212
"175",175,0
"176",176,0.95
"177",177,0.564
"178",178,0.004
"179",179,0.07
"180",180,0.532
"181",181,0.306
"182",182,0.372
"183",183,0.864
"184",184,0.048
"185",185,0.468
"186",186,0.88
"187",187,0.04
"188",188,0.958
"189",189,0.97
"190",190,0.18
"191",191,0.008
"192",192,0.062
"193",193,0.98
"194",194,0.886
"195",195,0.932
"196",196,0.868
"197",197,0.08
"198",198,0.534
"199",199,0.004
"200",200,0.014
"201",201,0.008
"202",202,0.048
"203",203,0.02
"204",204,0.082
"205",205,0.284
"206",206,0.002
"207",207,0.024
"208",208,0.95
"209",209,0.138
"210",210,0.008
"211",211,0
"212",212,0.062
"213",213,0.018
"214",214,0.012
"215",215,0.542
"216",216,0.996
"217",217,0.01
"218",218,0.01
"219",219,0.842
"220",220,0.032
"221",221,0.258
"222",222,0.006
"223",223,0.246
"224",224,0.368
"225",225,0.008
"226",226,0.838
"227",227,0.836
"228",228,0.008
"229",229,0.304
"230",230,0.006
"231",231,0.85
"232",232,0.354
"233",233,0.476
"234",234,0.12
"235",235,0.816
"236",236,0.998
"237",237,0.134
"238",238,0.204
"239",239,0.322
"240",240,0.016
"241",241,0.194
"242",242,0.1
"243",243,0.208
"244",244,0.018
